time,open,high,low,close,CVD (Ouverture),CVD (Haut,CVD (Bas),CVD (Fermer)
2025-08-25T01:00:00+01:00,876.51,878.37,865.73,873.11,0,1540.352,-1450.5749999999998,624.5660000000001
2025-08-25T02:00:00+01:00,873.11,877.38,871.84,874.93,624.5660000000001,1279.2710000000002,-85.60699999999986,-72.92099999999994
2025-08-25T03:00:00+01:00,874.93,879.65,874.8,879.01,-72.92099999999994,597.033,-868.187,-276.712
2025-08-25T04:00:00+01:00,879,880.75,875.04,876.2,-276.712,1012.886,-1476.493,-1476.493
2025-08-25T05:00:00+01:00,876.2,877.98,874.14,877.32,-1476.493,52.56200000000058,-1537.2069999999999,-39.60799999999949
2025-08-25T06:00:00+01:00,877.33,880,874.01,874.38,-39.60799999999949,4683.686000000001,-77.38499999999945,2385.880000000001
2025-08-25T07:00:00+01:00,874.38,875.08,863,863.53,2385.880000000001,3265.2540000000013,-1638.9239999999986,-396.06199999999853
2025-08-25T08:00:00+01:00,863.53,867.88,857,858.54,-396.06199999999853,1889.1840000000016,-5663.1799999999985,-4852.713999999998
2025-08-25T09:00:00+01:00,858.53,864,853.9,860.64,-4852.713999999998,-4852.713999999998,-9660.688999999998,-9434.476999999999
2025-08-25T10:00:00+01:00,860.63,861.1,857.42,860.99,-9434.476999999999,-9316.344,-10367.071999999998,-9316.344
2025-08-25T11:00:00+01:00,860.99,860.99,850.58,851.83,-9316.344,-9089.449999999999,-15082.229,-14820.489000000001
2025-08-25T12:00:00+01:00,851.82,855.96,850.92,854.52,-14820.489000000001,-14729.961000000001,-16585.361,-14731.616000000002
2025-08-25T13:00:00+01:00,854.53,864.46,854,862.95,-14731.616000000002,-4324.754999999997,-15703.607000000002,-4324.754999999997
2025-08-25T14:00:00+01:00,862.95,863.04,854.51,860.53,-4324.754999999997,-4324.754999999997,-7255.596999999997,-6192.035999999996
2025-08-25T15:00:00+01:00,860.54,871.72,859.15,870.46,-6192.035999999996,-2006.622999999996,-6530.730999999996,-3989.787999999996
2025-08-25T16:00:00+01:00,870.46,871.11,862.2,863.52,-3989.787999999996,-3951.609999999996,-6856.551999999996,-6625.144999999997
2025-08-25T17:00:00+01:00,863.52,870.25,861.24,866.12,-6625.144999999997,-5364.244999999997,-7051.820999999997,-6699.221999999997
2025-08-25T18:00:00+01:00,866.12,867,861.79,863.96,-6699.221999999997,-6629.457999999997,-8138.1079999999965,-7479.919999999996
2025-08-25T19:00:00+01:00,863.96,867.21,862.71,865.35,-7479.919999999996,-6955.320999999996,-8267.947999999997,-7893.027999999997
2025-08-25T20:00:00+01:00,865.35,865.96,853.08,853.88,-7893.027999999997,-5700.362999999997,-11267.059999999998,-11267.059999999998
2025-08-25T21:00:00+01:00,853.88,857.5,837.77,837.87,-11267.059999999998,-9170.176999999998,-18135.954999999998,-17528.929999999997
2025-08-25T22:00:00+01:00,837.9,843.16,832.76,838.76,-17528.929999999997,-15102.000999999997,-22095.254999999997,-21674.774999999994
2025-08-25T23:00:00+01:00,838.76,846.1,838.22,842.13,-21674.774999999994,-19140.063999999995,-21674.774999999994,-20449.558999999994
2025-08-26T00:00:00+01:00,842.13,842.13,836.87,839.32,-20449.558999999994,-19794.332999999995,-22206.334999999995,-20738.600999999995
2025-08-26T01:00:00+01:00,839.32,842.23,829.59,833.05,0,1184.115,-10706.814,-2288.7250000000004
2025-08-26T02:00:00+01:00,833.05,845.44,831.04,844.96,-2288.7250000000004,2248.5300000000007,-3189.0780000000004,2248.5300000000007
2025-08-26T03:00:00+01:00,844.95,849.71,844.08,847.21,2248.5300000000007,4798.280000000001,2030.3920000000007,3546.386000000001
2025-08-26T04:00:00+01:00,847.21,848,843.12,844.58,3546.386000000001,3595.265000000001,2763.417000000001,3072.244000000001
2025-08-26T05:00:00+01:00,844.58,847.7,844.48,845.81,3072.244000000001,4058.919000000001,3051.295000000001,3258.663000000001
2025-08-26T06:00:00+01:00,845.81,847.38,843.72,845.02,3258.663000000001,3648.5930000000008,2511.834000000001,2511.834000000001
2025-08-26T07:00:00+01:00,845.02,846.83,840.31,841.26,2511.834000000001,2546.427000000001,1655.415000000001,1791.879000000001
2025-08-26T08:00:00+01:00,841.26,846.64,839.16,842.73,1791.879000000001,2897.402000000001,1216.0720000000013,1216.0720000000013
2025-08-26T09:00:00+01:00,842.72,845.1,841.03,842.91,1216.0720000000013,2377.488000000001,1171.4540000000013,1694.9630000000013
2025-08-26T10:00:00+01:00,842.91,844.39,841.31,844.1,1694.9630000000013,1803.6510000000014,1434.6010000000015,1667.9860000000012
2025-08-26T11:00:00+01:00,844.1,844.83,842.22,843.01,1667.9860000000012,1893.3150000000012,686.1920000000011,839.6890000000011
2025-08-26T12:00:00+01:00,843.01,844.57,839.39,841.7,839.6890000000011,871.1350000000011,-1220.360999999999,-545.3699999999995
2025-08-26T13:00:00+01:00,841.7,850.86,839,847.07,-545.3699999999995,4169.211,-1396.6209999999994,3192.4179999999997
2025-08-26T14:00:00+01:00,847.06,849.1,839.01,846.3,3192.4179999999997,3508.2109999999993,662.7669999999994,3508.2109999999993
2025-08-26T15:00:00+01:00,846.3,853.3,843.63,852.32,3508.2109999999993,5585.656999999999,2847.6539999999995,5486.991999999999
2025-08-26T16:00:00+01:00,852.32,853.84,848.21,849.67,5486.991999999999,5938.208,2898.0889999999995,3025.7769999999996
2025-08-26T17:00:00+01:00,849.67,857,849.25,855.92,3025.7769999999996,6791.272999999999,3025.7769999999996,6161.496999999999
2025-08-26T18:00:00+01:00,855.91,856.29,850.11,851.7,6161.496999999999,6161.496999999999,4343.958999999999,4692.668
2025-08-26T19:00:00+01:00,851.7,856.77,851.22,855.33,4692.668,5947.6089999999995,4598.005999999999,5748.454
2025-08-26T20:00:00+01:00,855.32,861.13,853.7,860.72,5748.454,7028.601,5541.9619999999995,6994.724
2025-08-26T21:00:00+01:00,860.72,863.76,859.83,863.75,6994.724,8373.461,6819.365,8373.461
2025-08-26T22:00:00+01:00,863.76,863.76,861.04,862.63,8373.461,8437.358999999999,7516.648999999999,7741.307999999999
2025-08-26T23:00:00+01:00,862.63,865.28,862.02,865,7741.307999999999,7927.521999999999,6953.534,7358.967
2025-08-27T00:00:00+01:00,865,868,862.53,863.7,7358.967,8322.181,7037.793,7588.947
2025-08-27T01:00:00+01:00,863.7,864,859.76,860.83,0,0,-1044.577,-988.234
